	extended_tweet.full_text	retweet_count	user.screen_name	user.verified	user.followers_count	entities.hashtags	created_at	favorite_count
1369	RT @Trochman: RT  @Gettington Through Nov 2, every time you spend $150 or more on toys, we’ll donate a new toy to the Toys for Tots (client)	0	ChrisIafolla	False	2956	[]	Tue Oct 26 18:39:06 +0000 2010	0
1370	Great cause! RT  @Gettington Through Nov 2, every time you spend $150 or more on toys, we’ll donate a new toy to the Toys for Tots (client)	0	Trochman	False	966	[]	Tue Oct 26 18:35:52 +0000 2010	0
1371	Working out the final details of The Man Salad for #Movember. For each salad sold, we'll donate $1 to #dallasmoustache.	3	snappysalads	False	2195	[{'text': 'Movember', 'indices': [51, 60]}, {'text': 'dallasmoustache', 'indices': [102, 118]}]	Mon Oct 25 14:28:32 +0000 2010	0
1372	In Falls Church, VA? Join us at our newest location this week & we'll donate 50¢ for every burger sold to the Ntnl Center for Missing Kids.	5	redrobinburgers	True	189392	[]	Mon Oct 25 22:12:01 +0000 2010	0
1373	"RT @Latico: ""Like"" us on FB for every fan we get in Oct we'll donate $.50 to the American Cancer Society. facebook.com/latico.leathers"	0	alixrose	False	6420	[]	Tue Oct 26 16:47:37 +0000 2010	0
1374	RT @CUCINAurbana: Today is the last day to donate to #Food4KidsSD. Join us for any of our pizzas during lunch! We'll donate $1 each!	0	SpecialtyProd	False	9055	[{'text': 'Food4KidsSD', 'indices': [53, 65]}]	Tue Aug 31 19:55:02 +0000 2010	0
1375	RT @halogentv: Have you signed yet? We'll donate $1 to @charitywater for each person who signs this petition: http://bit.ly/build-a-well	0	yarby	False	5365	[]	Tue Aug 31 19:15:23 +0000 2010	0
1376	Have you signed yet? We'll donate $1 to @charitywater for each person who signs this petition: http://bit.ly/build-a-well #september  pls RT	1	halogentv	False	26997	[{'text': 'september', 'indices': [122, 132]}]	Tue Aug 31 18:55:03 +0000 2010	0
1377	Have you signed yet? We'll donate $1 to @charitywater for each person who signs this petition: http://bit.ly/build-a-well #september  pls RT	1	halogentv	False	26997	[{'text': 'september', 'indices': [122, 132]}]	Tue Aug 31 18:55:03 +0000 2010	0
1378	RT @cucinaurbana: 2day is last day 2 donate 2 #Food4KidsSD. Join us for any of our pizzas during lunch! We'll automatically donate $1 each!	0	baybirdinc	False	2627	[{'text': 'Food4KidsSD', 'indices': [46, 58]}]	Tue Aug 31 18:15:10 +0000 2010	0
